Top Metal Voltage (mV):	0.000000
714.285714	-29.211029	-35.913071
892.857143	-29.287193	-35.908958
1071.428571	-29.209590	-35.847754
1250.000000	-29.441328	-36.114156
1428.571429	-29.419886	-36.129689
1607.142857	-29.651360	-36.262744
1785.714286	-29.402480	-36.049660
1964.285714	-29.162849	-35.830546
2142.857143	-29.041273	-35.710332
2321.428571	-29.332521	-35.941473
2500.000000	-29.626685	-36.251909

Top Metal Voltage (mV):	1000.000000
Dot Voltage (mV)	Dot Voltage (meV/e)	ST Voltage (meV/e)
0.000000	-29.023103	-35.658922
178.571429	-29.144850	-35.796816
357.142857	-29.324497	-35.982744
535.714286	-29.400574	-36.093441
714.285714	-28.869796	-35.589794
892.857143	-29.525037	-36.214367
1071.428571	-29.464245	-36.132637
1250.000000	-29.552570	-36.161479
1428.571429	-29.166371	-35.869874
1607.142857	-28.984405	-35.619822
1785.714286	-29.000557	-35.709469
1964.285714	-29.551813	-36.199264
2142.857143	-29.038702	-35.702250
2321.428571	-29.475529	-36.164544
2500.000000	-28.936804	-35.604593

Top Metal Voltage (mV):	1250.000000
Dot Voltage (mV)	Dot Voltage (meV/e)	ST Voltage (meV/e)
0.000000	-29.385863	-36.059709
178.571429	-29.306302	-35.929319
357.142857	-28.989340	-35.625987
535.714286	-29.233438	-35.898542
714.285714	-29.507004	-36.215824
892.857143	-28.793363	-35.426129
1071.428571	-29.313783	-35.971495
1250.000000	-29.445673	-36.084788
1428.571429	-29.528808	-36.184435
1607.142857	-29.089596	-35.751214
1785.714286	-29.175834	-35.850839
1964.285714	-29.300708	-35.958225
2142.857143	-29.244028	-35.913369
2321.428571	-29.078939	-35.699761
2500.000000	-29.482974	-36.081329

Top Metal Voltage (mV):	1500.000000
Dot Voltage (mV)	Dot Voltage (meV/e)	ST Voltage (meV/e)
0.000000	-29.276095	-35.974560
178.571429	-28.875698	-35.528437
357.142857	-29.293966	-35.988066
535.714286	-29.312351	-36.004964
714.285714	-28.987206	-35.688493
892.857143	-29.256577	-35.931355
1071.428571	-29.262934	-35.881281
1250.000000	-29.121316	-35.838389
1428.571429	-29.184302	-35.889644
1607.142857	-29.434555	-36.088546
1785.714286	-28.859174	-35.557809
1964.285714	-29.410615	-36.048421
2142.857143	-29.459427	-36.167311
2321.428571	-29.418109	-36.053642
2500.000000	-29.147321	-35.851672

Top Metal Voltage (mV):	1750.000000
Dot Voltage (mV)	Dot Voltage (meV/e)	ST Voltage (meV/e)
0.000000	-29.298498	-35.960477
178.571429	-28.967095	-35.710838
357.142857	-29.477415	-36.109086
535.714286	-29.026754	-35.644785
714.285714	-29.099362	-35.738934
892.857143	-29.316184	-35.982190
1071.428571	-29.219624	-35.864402
1250.000000	-29.327296	-36.001066
1428.571429	-29.504153	-36.184157
1607.142857	-29.511856	-36.149630
1785.714286	-29.358204	-36.059652
1964.285714	-29.300008	-35.973453
2142.857143	-29.114451	-35.728092
2321.428571	-29.338222	-35.999331
2500.000000	-29.264247	-35.929903

Top Metal Voltage (mV):	2000.000000
Dot Voltage (mV)	Dot Voltage (meV/e)	ST Voltage (meV/e)
0.000000	-29.371300	-36.017835
178.571429	-29.606051	-36.192863
357.142857	-29.114255	-35.796441
535.714286	-29.099778	-35.710611
714.285714	-29.204933	-35.826462
892.857143	-29.789820	-36.418393
1071.428571	-29.330118	-35.961913
1250.000000	-29.129671	-35.779462
1428.571429	-29.248625	-35.914216
1607.142857	-29.665415	-36.330659
1785.714286	-29.149522	-35.814858
1964.285714	-29.104415	-35.781133
2142.857143	-29.194501	-35.843281
2321.428571	-29.262641	-35.920947
2500.000000	-29.445860	-36.150459

Top Metal Voltage (mV):	2250.000000
Dot Voltage (mV)	Dot Voltage (meV/e)	ST Voltage (meV/e)
0.000000	-29.279267	-35.906408
178.571429	-29.271044	-35.948080
357.142857	-29.208630	-35.883189
535.714286	-29.376702	-36.047714
714.285714	-29.410962	-36.065264
892.857143	-29.499563	-36.147123
1071.428571	-28.850473	-35.505365
1250.000000	-29.325641	-35.943423
1428.571429	-29.055946	-35.664236
1607.142857	-29.407998	-36.050131
1785.714286	-29.819694	-36.413882
1964.285714	-29.473142	-36.140467
2142.857143	-29.269979	-35.912992
2321.428571	-29.442557	-36.157272
2500.000000	-29.228725	-35.861395

Top Metal Voltage (mV):	2500.000000
Dot Voltage (mV)	Dot Voltage (meV/e)	ST Voltage (meV/e)
0.000000	-29.349536	-36.057660
178.571429	-29.258580	-35.889361
357.142857	-29.738868	-36.353612
535.714286	-29.347251	-35.987704
714.285714	-29.047156	-35.709527
892.857143	-29.460473	-36.145156
1071.428571	-29.099756	-35.722899
1250.000000	-29.320861	-35.979318
1428.571429	-29.326934	-35.931695
1607.142857	-29.138557	-35.822945
1785.714286	-29.007685	-35.688446
1964.285714	-29.359071	-36.081223
2142.857143	-29.378438	-36.001487
2321.428571	-29.110775	-35.778112
2500.000000	-29.042704	-35.713241

