Top Metal Voltage (mV):	0.000000
Dot Voltage (mV)	Dot Voltage (meV/e)	ST Voltage (meV/e)
0.000000	-29.153085	-35.770907
178.571429	-29.506109	-36.203098
357.142857	-29.091819	-35.767639
535.714286	-29.216579	-35.885603
714.285714	-29.251189	-35.974240
892.857143	-29.302103	-35.968573
1071.428571	-29.158113	-35.889655
1250.000000	-29.050564	-35.663963
1428.571429	-28.929114	-35.604141
1607.142857	-29.635519	-36.306378
1785.714286	-29.459564	-36.121652
1964.285714	-29.529181	-36.179619
2142.857143	-29.332004	-35.942670
2321.428571	-29.742733	-36.399655
2500.000000	-29.509912	-36.144610

Top Metal Voltage (mV):	250.000000
Dot Voltage (mV)	Dot Voltage (meV/e)	ST Voltage (meV/e)
0.000000	-28.902247	-35.581625
178.571429	-29.172224	-35.852771
357.142857	-29.241991	-35.910523
535.714286	-29.257220	-35.956261
714.285714	-29.259932	-35.884371
892.857143	-28.956177	-35.622166
1071.428571	-29.138877	-35.821965
1250.000000	-29.568201	-36.256046
1428.571429	-29.655892	-36.295145
1607.142857	-29.402168	-35.997382
1785.714286	-29.492039	-36.208008
1964.285714	-29.203328	-35.852860
2142.857143	-29.372009	-36.030103
2321.428571	-29.260932	-35.904680
2500.000000	-29.223592	-35.879127

Top Metal Voltage (mV):	500.000000
Dot Voltage (mV)	Dot Voltage (meV/e)	ST Voltage (meV/e)
0.000000	-29.226288	-35.816365
178.571429	-29.004493	-35.686267
357.142857	-29.359917	-36.024612
535.714286	-29.580031	-36.223842
714.285714	-29.309654	-35.933303
892.857143	-29.277531	-35.907949
1071.428571	-29.222764	-35.860855
1250.000000	-29.362869	-36.072178
1428.571429	-29.195813	-35.887614
1607.142857	-29.415754	-36.050279
1785.714286	-29.670757	-36.325096
1964.285714	-29.265955	-35.937826
2142.857143	-29.132304	-35.751775
2321.428571	-29.038738	-35.640588
2500.000000	-29.070527	-35.750121

Top Metal Voltage (mV):	750.000000
Dot Voltage (mV)	Dot Voltage (meV/e)	ST Voltage (meV/e)
0.000000	-29.368726	-36.022301
178.571429	-29.384264	-36.055940
357.142857	-29.446467	-36.110048
535.714286	-29.077209	-35.723650
