Top Metal Voltage (mV):	-1000.000000
Dot Voltage (mV)	Dot Voltage (meV/e)	ST Voltage (meV/e)
-1000.000000	1135.088480	-1222.478342
-750.000000	1005.833471	-1137.540683
-500.000000	889.820935	-993.598731
-250.000000	795.024133	-858.868727
0.000000	691.798640	-752.503282
250.000000	569.079239	-635.046862
500.000000	466.344690	-508.177167
750.000000	358.847272	-393.062139
1000.000000	249.080427	-270.904693
1250.000000	139.805727	-157.037936
1500.000000	29.080835	-35.704994
1750.000000	-80.750378	83.252832
2000.000000	-188.244315	206.608340
2250.000000	-302.953928	323.524744
2500.000000	-411.189510	440.028050

Top Metal Voltage (mV):	1750.000000
Dot Voltage (mV)	Dot Voltage (meV/e)	ST Voltage (meV/e)
-1000.000000	1234.203351	-1354.703871
-750.000000	1115.967893	-1216.411734
-500.000000	1003.514102	-1112.751706
-250.000000	906.033711	-989.104237
0.000000	809.251293	-862.141149
250.000000	689.789546	-762.117468
500.000000	574.020352	-628.551931
750.000000	471.315507	-508.805862
1000.000000	362.528895	-399.649070
1250.000000	247.195885	-273.085210
1500.000000	138.486213	-154.168169
1750.000000	29.361051	-36.042696
2000.000000	-80.303614	84.430493
2250.000000	-188.971884	203.964958
2500.000000	-290.218703	331.538538

Top Metal Voltage (mV):	2000.000000
Dot Voltage (mV)	Dot Voltage (meV/e)	ST Voltage (meV/e)
-1000.000000	1354.920682	-1466.635028
-750.000000	1225.568355	-1356.809212
-500.000000	1128.455376	-1213.876291
-250.000000	1019.760970	-1114.652384
0.000000	911.799061	-1017.464658
250.000000	798.552726	-875.009429
500.000000	688.891011	-757.839404
750.000000	591.797807	-641.210401
1000.000000	464.329134	-518.676086
1250.000000	360.322703	-392.695164
1500.000000	247.137636	-277.450320
1750.000000	140.288443	-155.787291
2000.000000	29.532392	-36.152578
2250.000000	-80.699959	82.357394
2500.000000	-189.575378	201.012457

Top Metal Voltage (mV):	2250.000000
Dot Voltage (mV)	Dot Voltage (meV/e)	ST Voltage (meV/e)
-1000.000000	1410.335271	-1609.054374
-750.000000	1344.131748	-1470.513912
-500.000000	1205.999790	-1364.427132
-250.000000	1126.845034	-1224.020479
0.000000	1003.162393	-1118.715597
250.000000	921.755515	-991.004566
500.000000	790.471615	-869.789956
750.000000	681.694516	-753.180141
1000.000000	566.369371	-636.782337
1250.000000	469.840212	-519.641015
1500.000000	355.085808	-386.623060
1750.000000	250.310260	-275.737186
2000.000000	139.629504	-156.546446
2250.000000	29.442615	-36.073204
2500.000000	-79.159989	82.140856

Top Metal Voltage (mV):	2500.000000
Dot Voltage (mV)	Dot Voltage (meV/e)	ST Voltage (meV/e)
-1000.000000	1561.530316	-1697.386621
-750.000000	1430.131610	-1548.599585
-500.000000	1329.219898	-1487.638533
-250.000000	1273.621893	-1351.000279
0.000000	1135.427102	-1230.122036
250.000000	1002.361648	-1099.943178
500.000000	905.943358	-987.854279
750.000000	802.208618	-892.701106
1000.000000	690.293746	-764.622958
1250.000000	564.121608	-633.786393
1500.000000	467.270030	-523.447674
1750.000000	355.221007	-396.757201
2000.000000	252.071893	-276.086518
2250.000000	138.525661	-155.708701
2500.000000	29.537697	-36.188931

